WellId;X;Y;DepthFrom;DepthTo;Rock;Porosity
W-0002;119.99;62.41;393.54;397.00;Dolomite;0.032
W-0002;80.18;63.61;397.00;401.37;Dolomite;0.069
W-0002;106.48;58.54;401.37;414.61;Limestone;0.317
W-0002;80.23;57.12;414.61;425.23;Dolomite;0.206
W-0002;122.38;65.44;425.23;442.09;Dolomite;1.500
W-0002;115.76;60.81;442.09;458.79;Limestone;0.303
W-0002;89.20;75.17;473.32;468.32;Limestone;0.329
W-0002;85.19;65.79;468.32;472.97;Shale;0.123
W-0003;118.39;94.75;16.74;11.74;Limestone;0.142
W-0003;118.94;51.35;11.74;25.80;Dolomite;0.333
W-0003;88.15;59.14;25.80;44.20;Sandstone;0.077
W-0003;123.13;57.72;44.20;51.52;Sandstone;0.046
W-0003;88.74;77.71;51.52;56.90;Limestone;0.244
W-0003;80.21;65.15;56.90;76.63;Shale;0.029
W-0003;103.08;62.10;76.63;93.59;Dolomite;0.219
W-0003;126.98;62.57;93.59;105.61;Shale;0.111
W-0003;85.75;97.65;105.61;108.96;Sandstone;0.249
W-0003;126.80;87.54;108.96;125.02;Sandstone;0.114
W-0003;120.89;65.17;125.02;132.82;Limestone;0.335
W-0003;118.42;79.84;132.82;136.28;Limestone;0.251
W-0003;85.67;54.23;136.28;147.88;Shale;0.037
W-0003;119.64;74.00;147.88;153.95;Shale;0.136
W-0003;86.05;88.26;153.95;166.75;Dolomite;0.231
W-0003;113.46;63.45;166.75;185.67;Sandstone;0.346
W-0003;102.66;74.86;185.67;192.82;Dolomite;0.334
W-0003;109.98;83.04;192.82;198.83;Sandstone;0.054
W-0003;110.54;70.72;198.83;212.62;Dolomite;0.150
W-0003;107.77;65.83;212.62;231.53;Shale;0.122
W-0003;129.98;97.56;231.53;250.90;Dolomite;0.285
W-0003;80.30;54.79;250.90;254.26;Limestone;0.034
W-0003;106.39;91.67;254.26;265.78;Shale;0.326
W-0003;102.62;97.32;265.78;278.94;Sandstone;0.082
W-0003;111.45;86.39;278.94;296.45;Sandstone;0.172
W-0003;97.51;90.58;296.45;300.79;Sandstone;0.346
W-0003;116.21;88.61;300.79;318.43;Dolomite;1.500
W-0003;103.67;67.30;318.43;326.00;Sandstone;0.155
W-0003;93.23;98.97;326.00;334.89;Sandstone;0.076
W-0003;106.17;98.83;355.04;350.04;Dolomite;0.079
W-0003;107.56;94.04;350.04;363.08;Limestone;0.330
W-0003;100.21;68.38;363.08;380.68;Shale;0.308
W-0003;121.20;80.45;380.68;396.46;Shale;0.202
W-0003;123.50;76.79;396.46;403.43;Limestone;0.311
W-0003;91.43;55.35;403.43;416.26;Dolomite;0.233
W-0003;91.51;98.67;416.26;428.16;Dolomite;0.112
W-0003;99.81;99.63;442.36;437.36;Sandstone;0.251
W-0003;114.64;84.29;437.36;440.78;Limestone;0.157
W-0003;109.85;95.67;440.78;449.89;Dolomite;0.318
W-0003;117.15;62.42;449.89;451.27;Sandstone;0.098
W-0003;111.72;80.16;451.27;466.15;Dolomite;0.132
W-0003;107.78;50.28;466.15;473.17;Limestone;0.085
W-0003;101.45;89.04;473.17;490.26;Limestone;0.223
W-0003;97.76;97.16;490.26;504.33;Sandstone;0.081
W-0003;107.83;67.29;512.09;507.09;Dolomite;0.036
W-0003;93.38;62.26;507.09;522.16;;0.169
W-0003;95.77;90.12;522.16;529.57;Sandstone;0.265
BAD-OVR1;93.16;55.33;5.00;13.00;Dolomite;0.169
W-0003;120.77;73.74;543.87;557.00;Dolomite;0.288
W-0003;86.00;79.60;557.00;565.59;Sandstone;1.500
W-0004;119.29;82.21;0.00;18.68;Limestone;0.088
W-0004;120.84;90.26;18.68;25.87;Dolomite;0.343
BAD-OVR1;121.87;55.32;8.00;16.00;Limestone;0.283
W-0004;81.18;84.36;30.93;48.84;Dolomite;0.044
W-0004;100.26;71.11;48.84;58.38;Limestone;0.186
W-0004;114.32;65.41;58.38;68.28;;0.172
W-0004;104.15;99.51;68.28;86.07;Shale;0.028
W-0004;118.71;52.70;86.07;96.99;Dolomite;0.013
W-0004;84.77;92.28;96.99;113.43;Limestone;0.354
W-0004;85.63;89.66;113.43;124.85;Limestone;0.314
W-0004;105.96;69.26;124.85;131.57;Limestone;0.036
W-0004;96.95;75.14;131.57;144.80;Sandstone;0.287
W-0004;90.69;64.63;162.85;157.85;Sandstone;0.086
W-0004;83.92;78.69;157.85;166.72;Dolomite;0.128
W-0004;82.51;69.24;166.72;173.89;Dolomite;0.088
W-0004;106.88;57.66;173.89;177.22;Sandstone;0.084
W-0004;97.44;65.56;177.22;196.82;Dolomite;0.182
W-0004;82.30;98.37;196.82;198.85;Sandstone;0.041
W-0004;80.61;93.63;198.85;210.77;Shale;0.098
W-0004;99.33;87.95;210.77;212.70;Shale;0.154
W-0004;96.00;75.86;212.70;219.03;Dolomite;0.217
W-0004;113.32;56.53;219.03;221.56;Dolomite;0.322
W-0004;83.16;60.05;221.56;224.11;Dolomite;0.260
W-0004;110.19;51.31;224.11;230.75;Shale;0.293
W-0004;84.76;51.58;230.75;248.88;Dolomite;0.254
W-0004;110.91;85.28;248.88;266.95;Limestone;0.205
W-0004;91.24;53.64;266.95;275.11;Limestone;0.135
W-0004;110.52;52.24;299.76;294.76;Shale;0.165
W-0004;90.62;73.88;294.76;296.62;Shale;0.024
W-0004;99.68;84.31;296.62;311.06;Dolomite;0.317
W-0004;116.83;91.91;311.06;320.31;Shale;0.132
W-0004;80.44;88.73;320.31;333.54;Sandstone;0.249
W-0004;129.59;59.37;333.54;347.24;Limestone;0.018
W-0004;98.41;71.40;347.24;359.43;Dolomite;0.226
W-0004;100.39;96.90;359.43;373.08;Shale;0.323
W-0004;93.37;64.69;373.08;377.78;Dolomite;0.248
W-0004;106.16;99.14;377.78;392.00;Dolomite;0.240
W-0004;100.35;55.30;392.00;408.08;Limestone;0.251
W-0004;115.91;52.70;408.08;421.67;Dolomite;0.207
W-0004;128.50;94.27;421.67;426.90;Sandstone;0.087
W-0004;105.97;74.85;426.90;444.61;Dolomite;0.304
W-0004;102.33;58.69;460.26;455.26;Sandstone;0.296
W-0004;83.44;78.61;455.26;470.88;Dolomite;0.165
W-0004;101.26;50.20;470.88;476.62;Dolomite;0.288
W-0004;90.43;66.23;476.62;491.51;Shale;0.307
W-0004;94.86;65.39;491.51;507.01;Limestone;0.107
W-0004;119.43;81.74;507.01;513.08;Limestone;0.345
W-0004;97.21;78.45;513.08;518.60;Shale;0.316
W-0004;114.03;52.46;518.60;527.99;Shale;0.286
W-0004;88.06;85.26;527.99;542.35;Sandstone;0.207
W-0005;112.96;85.10;0.00;7.19;Shale;0.308
W-0005;93.88;89.19;7.19;13.80;Shale;0.056
W-0005;92.13;51.10;13.80;15.69;Shale;0.174
W-0005;110.17;79.33;15.69;25.25;Shale;0.032
W-0005;97.64;79.23;25.25;36.09;Shale;0.053
W-0005;102.90;87.51;36.09;38.44;Dolomite;0.270
BAD-OVR1;89.45;81.54;11.00;19.00;Shale;0.131
W-0005;114.75;53.62;53.06;71.49;Shale;0.174
W-0005;88.45;71.30;71.49;76.96;Limestone;0.162
W-0005;83.20;95.94;76.96;90.09;Shale;0.136
W-0005;129.53;86.52;90.09;103.63;Shale;0.063
W-0005;116.91;74.49;103.63;109.91;Dolomite;0.201
W-0005;105.38;93.71;109.91;115.51;Limestone;0.026
W-0005;124.08;86.04;115.51;118.69;Shale;0.142
W-0005;96.81;98.96;118.69;125.67;Sandstone;0.251
W-0005;110.86;83.12;125.67;131.80;Limestone;0.268
W-0005;101.51;98.54;131.80;150.33;Shale;0.323
W-0005;104.51;68.87;150.33;168.04;Limestone;0.350
W-0005;116.75;85.20;168.04;185.64;Shale;0.236
W-0005;87.63;62.04;185.64;193.33;Dolomite;0.146
W-0005;83.33;82.20;193.33;209.55;Limestone;0.071
W-0005;108.45;52.90;209.55;213.13;;0.335
W-0005;83.47;67.30;213.13;229.84;Sandstone;1.500
W-0005;120.90;97.01;229.84;230.99;Dolomite;0.136
W-0005;127.59;98.53;230.99;232.32;Shale;0.114
W-0005;93.09;73.40;232.32;244.39;Dolomite;0.174
W-0005;88.94;51.87;244.39;249.24;Dolomite;0.299
W-0005;101.26;55.35;249.24;264.95;Dolomite;0.212
W-0005;120.65;50.90;264.95;284.59;Limestone;0.060
W-0005;88.16;65.63;284.59;291.00;Dolomite;0.185
W-0005;123.33;96.94;291.00;306.46;Shale;0.138
W-0005;104.60;65.92;306.46;324.13;Shale;0.345
W-0005;119.91;91.11;324.13;327.28;Sandstone;0.125
W-0005;90.54;57.65;327.28;335.75;Shale;0.296
W-0005;105.83;95.52;335.75;342.90;Sandstone;0.216
W-0005;128.26;68.13;342.90;354.10;Dolomite;0.055
W-0005;87.60;89.37;354.10;369.18;Limestone;0.117
W-0005;101.09;61.81;369.18;371.36;Dolomite;0.204
W-0005;96.74;53.41;371.36;391.05;Sandstone;0.222
W-0005;120.52;57.42;391.05;394.36;Limestone;0.052
W-0005;86.91;67.87;394.36;409.24;Shale;0.224
W-0005;114.28;89.96;409.24;423.40;Sandstone;0.340
W-0005;105.56;94.95;423.40;440.48;Sandstone;0.114
W-0005;90.84;87.89;440.48;448.27;Sandstone;0.290
W-0005;88.63;96.62;448.27;463.65;Sandstone;0.076
W-0005;118.32;83.49;463.65;477.31;Limestone;0.071
W-0005;106.41;85.05;477.31;490.18;Limestone;0.036
W-0005;111.47;55.48;490.18;493.55;Limestone;0.193
W-0005;105.07;83.79;493.55;510.74;Shale;0.103
W-0005;84.93;56.82;510.74;522.33;Sandstone;0.202
W-0006;121.81;74.84;0.00;12.61;Shale;0.171
W-0006;123.77;61.31;12.61;27.39;Dolomite;0.222
W-0006;127.81;87.39;27.39;41.40;Shale;0.140
W-0006;99.72;86.52;41.40;50.20;Sandstone;0.251
W-0006;86.45;61.29;63.89;58.89;Limestone;0.075
W-0006;99.60;65.87;58.89;62.79;Dolomite;0.231
W-0006;87.15;95.88;62.79;76.16;Dolomite;0.208
W-0006;129.07;80.22;76.16;78.47;Limestone;0.215
W-0006;113.94;74.77;78.47;93.99;Dolomite;0.296
W-0006;93.41;89.29;93.99;110.37;Sandstone;0.214
W-0006;123.44;78.64;110.37;112.12;Shale;0.187
W-0006;102.13;50.53;112.12;115.31;Sandstone;0.171
W-0006;81.97;77.13;115.31;119.42;;0.034
W-0006;102.17;93.61;119.42;132.60;Dolomite;0.228
W-0006;93.66;76.25;132.60;143.12;Limestone;0.247
W-0006;118.34;52.24;143.12;150.49;Limestone;0.354
W-0006;92.79;64.67;150.49;153.38;Dolomite;0.295
W-0006;100.12;78.51;153.38;155.05;Limestone;0.300
W-0006;112.70;57.63;155.05;169.66;Shale;0.239
W-0006;109.58;99.10;169.66;188.69;Limestone;0.155
W-0006;119.40;55.38;188.69;196.02;Limestone;0.130
W-0006;85.99;81.07;196.02;207.66;Sandstone;0.311
W-0006;129.18;83.16;214.75;209.75;Sandstone;0.180
W-0006;112.81;98.19;209.75;224.01;Sandstone;0.248
W-0006;86.52;52.01;224.01;232.42;Shale;1.500
W-0006;82.24;95.38;232.42;250.11;Sandstone;0.357
W-0006;92.03;56.72;250.11;255.45;Shale;0.076
W-0006;115.71;74.20;255.45;262.02;Dolomite;0.270
W-0006;112.64;76.22;262.02;272.47;Dolomite;0.252
W-0006;94.12;78.03;272.47;281.58;Dolomite;0.058
W-0006;81.27;74.76;281.58;297.69;Shale;0.054
W-0006;124.86;93.20;297.69;311.43;Limestone;0.299
W-0006;121.26;51.82;311.43;327.14;Limestone;0.190
W-0006;91.58;59.47;327.14;333.79;Limestone;0.350
W-0006;105.16;57.48;333.79;338.88;Limestone;0.303
W-0006;94.01;71.61;338.88;358.82;Dolomite;0.218
W-0006;100.55;57.79;358.82;366.64;Limestone;0.025
W-0006;96.03;65.08;366.64;380.90;Sandstone;0.035
W-0006;113.85;89.55;380.90;382.80;Sandstone;0.212
W-0006;80.21;81.35;382.80;393.75;Limestone;0.029
W-0006;116.84;73.49;393.75;395.25;Sandstone;0.035
W-0006;97.65;94.91;395.25;404.65;Sandstone;0.038
W-0006;121.90;94.54;404.65;408.42;Limestone;0.037
W-0006;110.22;67.76;415.93;410.93;Shale;0.273
W-0006;99.21;52.52;410.93;428.18;Sandstone;0.333
W-0006;88.54;95.90;428.18;431.09;Limestone;0.221
W-0006;122.61;54.06;431.09;436.47;Limestone;0.288
W-0006;90.69;79.87;436.47;450.98;Shale;0.147
W-0006;120.12;79.29;450.98;462.41;Dolomite;0.321
W-0006;124.81;58.87;462.41;477.08;Dolomite;1.500
W-0007;106.96;65.23;0.00;19.53;Limestone;0.328
W-0007;92.84;72.74;19.53;25.98;Shale;0.208
W-0007;101.97;65.06;25.98;37.63;Dolomite;0.131
W-0007;96.77;84.70;37.63;51.15;Sandstone;0.096
W-0007;100.91;65.86;51.15;52.70;Limestone;0.180
W-0007;122.71;93.58;52.70;58.00;Sandstone;0.277
W-0007;89.83;86.95;58.00;72.08;Shale;0.162
W-0007;99.95;61.52;72.08;73.46;Shale;0.155
W-0007;86.98;99.44;73.46;90.26;Shale;0.236
W-0007;98.09;68.50;90.26;92.37;Shale;0.030
W-0007;86.64;92.83;92.37;111.75;Dolomite;0.261
W-0007;118.52;61.46;111.75;122.96;Sandstone;0.259
W-0007;103.22;89.35;122.96;128.91;Shale;1.500
W-0007;95.86;93.28;128.91;147.07;Limestone;0.101
W-0007;109.76;64.38;147.07;152.37;Sandstone;0.307
W-0007;101.60;77.91;152.37;166.34;Sandstone;0.155
W-0007;128.47;76.94;166.34;177.08;Limestone;0.284
W-0007;82.51;53.48;177.08;183.36;Sandstone;0.046
W-0007;125.01;82.01;183.36;195.75;Sandstone;0.122
W-0007;114.42;84.54;195.75;208.07;Limestone;0.103
W-0007;103.42;85.26;208.07;216.31;Sandstone;0.233
W-0007;126.22;68.37;216.31;224.36;Shale;0.273
W-0007;105.16;99.61;224.36;226.95;Shale;0.147
W-0007;91.02;68.53;226.95;231.47;Limestone;0.068
W-0007;119.72;69.47;231.47;236.98;Limestone;0.153
W-0007;129.05;74.99;236.98;243.17;;0.310
W-0007;120.21;95.35;243.17;252.37;Sandstone;0.115
W-0007;104.35;60.81;252.37;270.24;Limestone;0.199
W-0007;85.38;98.52;270.24;276.92;Limestone;0.097
W-0007;92.24;55.02;276.92;288.19;Sandstone;0.132
W-0007;125.77;71.64;288.19;307.41;Shale;0.256
W-0007;127.90;71.03;307.41;310.98;Sandstone;0.330
W-0007;117.98;54.76;310.98;313.31;Limestone;0.318
W-0007;96.02;71.31;313.31;330.46;Dolomite;0.144
W-0007;101.28;78.81;330.46;336.23;Limestone;0.303
W-0007;106.86;81.58;336.23;347.84;Sandstone;0.083
BAD-OVR1;118.79;92.03;14.00;22.00;Shale;0.154
W-0007;89.68;55.07;358.58;360.66;Dolomite;0.236
W-0007;121.22;89.71;360.66;365.83;Shale;0.308
W-0007;99.93;50.36;365.83;367.76;Shale;0.087
W-0007;80.08;78.96;367.76;379.83;Limestone;0.174
W-0007;126.31;78.83;402.66;397.66;Sandstone;0.246
W-0007;101.80;84.25;397.66;398.96;Shale;0.260
W-0007;99.07;80.55;422.66;417.66;Sandstone;0.204
W-0007;106.84;97.30;417.66;433.47;Shale;0.285
W-0007;120.92;62.73;433.47;446.24;Limestone;0.232
W-0007;106.80;90.74;446.24;459.25;;0.321
W-0007;93.43;81.07;459.25;462.52;Sandstone;0.064
W-0007;125.31;83.37;462.52;469.07;Dolomite;0.059
W-0007;89.78;95.24;469.07;470.54;Shale;0.305
W-0008;105.14;64.52;0.00;16.05;Shale;0.145
W-0008;101.04;52.49;16.05;18.03;Sandstone;0.078
W-0008;112.52;80.35;18.03;32.76;Dolomite;0.300
BAD-OVR1;126.22;67.87;17.00;25.00;Shale;0.265
W-0008;125.51;52.61;48.78;51.97;Sandstone;0.077
W-0008;120.30;99.85;51.97;71.45;Sandstone;0.105
BAD-OVR1;93.80;79.29;20.00;28.00;Shale;0.276
W-0008;85.80;86.05;76.95;86.93;Limestone;0.051
W-0008;124.36;66.63;86.93;89.38;Sandstone;0.225
W-0008;116.61;94.54;89.38;101.04;Shale;0.280
W-0008;95.26;70.55;101.04;118.36;Limestone;0.143
W-0008;126.36;77.05;118.36;125.73;Sandstone;0.215
W-0008;114.80;61.27;125.73;138.11;Shale;1.500
W-0008;112.24;75.87;138.11;156.90;Shale;0.053
W-0008;112.62;85.72;156.90;165.16;Limestone;0.142
W-0008;81.86;80.04;165.16;181.62;Dolomite;0.148
W-0008;92.31;89.69;181.62;189.11;Limestone;0.173
W-0008;89.87;88.12;189.11;204.28;Dolomite;0.149
W-0008;124.28;52.34;204.28;212.78;Shale;0.021
W-0008;99.80;86.14;212.78;219.27;Sandstone;0.245
W-0008;120.80;71.95;219.27;223.38;Dolomite;0.041
W-0008;101.45;89.56;223.38;240.18;Limestone;0.164
W-0008;113.35;68.54;240.18;242.17;Limestone;0.145
W-0008;85.60;90.91;242.17;249.22;Dolomite;0.221
W-0008;129.31;74.26;249.22;261.06;Shale;0.188
W-0008;82.94;62.25;261.06;264.41;Shale;1.500
W-0008;100.54;62.15;264.41;278.23;Dolomite;0.152
W-0008;107.88;81.71;278.23;290.77;Shale;0.320
W-0008;90.17;51.72;290.77;298.19;Dolomite;0.321
W-0008;97.32;91.15;298.19;315.09;Dolomite;0.349
W-0008;100.77;93.55;315.09;321.45;Sandstone;0.077
W-0008;108.93;99.51;321.45;339.79;Sandstone;0.343
W-0008;114.26;67.60;339.79;348.64;Shale;0.162
W-0008;116.14;64.68;348.64;361.04;Dolomite;0.134
W-0008;96.65;56.50;361.04;368.80;Limestone;0.126
W-0008;89.50;78.85;368.80;375.02;Sandstone;0.131
W-0008;96.10;69.84;375.02;384.41;Limestone;0.050
W-0008;117.35;58.91;384.41;387.00;Sandstone;0.095
W-0008;101.95;81.61;387.00;395.36;Dolomite;0.049
W-0008;80.12;75.23;395.36;406.17;;0.300
W-0008;121.93;65.34;406.17;419.71;Limestone;0.302
W-0008;123.37;80.65;425.85;420.85;Dolomite;0.147
W-0008;106.33;65.49;420.85;425.26;Shale;0.067
W-0008;99.52;56.86;425.26;443.11;Dolomite;0.301
W-0008;92.39;66.09;443.11;452.96;Shale;0.034
W-0008;80.90;75.69;452.96;464.78;Limestone;0.211
W-0008;91.75;73.49;464.78;472.29;Shale;0.125
W-0008;106.49;78.01;472.29;477.86;Limestone;0.130
W-0008;104.75;64.85;477.86;485.33;Limestone;0.156
W-0008;88.81;51.01;485.33;495.33;Dolomite;0.020
W-0009;125.37;63.38;0.00;11.32;Sandstone;0.311
W-0009;103.47;57.37;11.32;26.29;Limestone;0.175
W-0009;121.69;84.01;26.29;42.66;Limestone;0.111
W-0009;102.90;94.95;42.66;62.28;Shale;0.047
W-0009;104.97;83.93;62.28;65.10;Dolomite;0.081
W-0009;96.66;63.67;65.10;74.47;;0.291
W-0009;84.38;68.12;74.47;88.76;Limestone;0.318
W-0009;83.28;56.12;88.76;105.47;Shale;0.187
W-0009;124.07;96.03;105.47;120.36;Sandstone;0.186
W-0009;106.68;62.11;120.36;124.45;Dolomite;0.244
W-0009;119.11;79.53;124.45;143.40;Sandstone;0.024
W-0009;92.69;50.21;143.40;161.07;Shale;0.069
W-0009;108.66;54.81;161.07;162.44;Dolomite;0.220
W-0009;127.31;92.64;162.44;166.72;Limestone;0.359
W-0009;121.15;56.59;166.72;182.35;Limestone;0.114
W-0009;124.91;65.87;182.35;196.54;Shale;0.213
W-0009;92.49;94.23;196.54;199.12;Shale;0.147
W-0009;123.00;56.66;199.12;214.42;Dolomite;0.230
W-0009;85.55;87.41;214.42;227.63;Sandstone;0.298
W-0009;80.48;71.17;227.63;239.90;Shale;0.135
W-0009;101.36;97.20;239.90;254.36;Limestone;0.308
W-0009;91.60;52.80;254.36;265.17;Shale;0.197
W-0009;124.99;65.82;265.17;274.91;Shale;0.185
W-0009;106.49;50.90;274.91;285.48;Limestone;0.080
W-0009;125.89;85.91;285.48;295.85;Dolomite;0.188
W-0009;114.78;79.37;295.85;306.85;Sandstone;0.081
W-0009;119.66;77.16;306.85;313.23;Dolomite;0.211
W-0009;124.55;69.00;313.23;318.27;Dolomite;0.108
W-0009;97.76;66.92;318.27;336.84;Shale;0.056
W-0009;100.20;53.25;336.84;352.00;Sandstone;0.150
W-0009;97.87;67.63;352.00;363.42;Limestone;0.022
W-0009;89.42;86.23;363.42;366.59;Sandstone;0.317
W-0009;109.05;81.39;366.59;376.04;Dolomite;0.175
W-0009;96.77;99.50;376.04;385.36;Dolomite;0.193
W-0009;91.57;98.33;385.36;395.00;Sandstone;0.280
W-0009;115.18;81.64;395.00;398.75;Sandstone;0.201
W-0009;81.19;76.53;398.75;406.30;Limestone;0.269
W-0009;99.68;67.19;406.30;416.04;Dolomite;0.062
W-0009;124.76;73.63;416.04;428.32;Dolomite;0.299
W-0009;114.70;68.58;428.32;445.06;;0.055
W-0009;104.67;50.11;445.06;464.18;Dolomite;0.118
W-0009;120.55;71.49;464.18;466.76;Sandstone;0.328
W-0009;103.70;53.57;466.76;472.52;Dolomite;0.217
W-0009;115.45;63.09;472.52;489.08;Dolomite;0.112
W-0009;107.19;88.86;489.08;505.42;Shale;0.170
W-0009;99.59;82.25;505.42;514.05;Limestone;0.280
W-0009;110.11;70.85;514.05;515.74;Sandstone;0.065
W-0009;101.07;83.52;515.74;527.48;Shale;0.168
W-0009;87.91;90.59;527.48;543.29;Shale;0.244
W-0009;92.51;77.17;543.29;557.80;Shale;0.161
W-0010;101.88;53.78;0.00;19.48;Dolomite;0.302
W-0010;106.95;59.91;19.48;26.19;Shale;0.108
W-0010;87.20;74.69;26.19;29.15;Sandstone;0.195
W-0010;116.67;94.55;29.15;36.32;Sandstone;0.212
W-0010;99.67;87.18;36.32;55.85;Shale;0.019
W-0010;81.31;97.37;55.85;75.55;;0.282
W-0010;117.29;75.56;75.55;92.46;Limestone;0.050
W-0010;102.66;82.23;92.46;103.57;Shale;0.186
W-0010;118.20;57.50;103.57;104.85;Sandstone;0.333
W-0010;90.28;69.19;104.85;115.31;;0.191
W-0010;94.38;50.23;115.31;119.59;Sandstone;0.181
W-0010;89.55;81.92;119.59;134.20;Sandstone;1.500
W-0010;119.17;71.55;134.20;149.97;Sandstone;0.220
W-0010;85.67;89.45;149.97;155.52;Dolomite;0.280
W-0010;90.63;96.81;155.52;157.01;Limestone;0.115
BAD-OVR1;109.24;70.94;23.00;31.00;Shale;0.015
W-0010;84.09;68.99;176.90;180.89;Sandstone;0.155
W-0010;102.98;87.19;180.89;197.00;Dolomite;0.117
W-0010;118.22;56.75;197.00;212.88;Shale;0.085
W-0010;122.51;74.43;212.88;218.33;Limestone;0.311
W-0010;95.33;87.42;218.33;225.76;Limestone;0.162
W-0010;81.16;51.77;225.76;234.66;Shale;0.356
W-0010;118.77;95.69;234.66;242.80;Limestone;1.500
W-0010;84.00;60.77;242.80;255.76;Shale;0.247
W-0010;110.52;50.97;255.76;260.65;Limestone;0.324
W-0010;123.76;89.24;260.65;271.52;Shale;0.323
W-0010;106.37;56.84;271.52;278.37;Dolomite;0.351
W-0010;83.73;54.82;278.37;282.15;Shale;0.287
W-0010;97.63;73.83;282.15;285.99;Sandstone;0.086
W-0010;126.09;88.57;285.99;288.33;Sandstone;0.259
W-0010;116.54;87.84;288.33;291.94;Dolomite;0.288
W-0010;115.08;58.47;291.94;293.34;Shale;0.306
W-0010;115.92;61.01;293.34;298.93;Limestone;0.171
W-0010;80.94;52.41;298.93;304.28;Dolomite;0.330
W-0010;98.84;83.39;304.28;316.07;Dolomite;0.249
W-0010;109.73;67.69;316.07;325.14;Dolomite;0.055
W-0010;86.68;59.24;325.14;331.91;Dolomite;0.311
W-0010;93.96;82.12;331.91;344.88;Dolomite;0.181
W-0010;100.18;78.17;344.88;351.79;Limestone;0.064
W-0010;89.34;91.29;351.79;368.81;Shale;0.190
W-0010;111.81;91.37;368.81;379.03;Dolomite;0.050
W-0010;118.90;91.31;379.03;381.76;Sandstone;0.089
W-0010;93.90;53.83;381.76;386.32;Shale;0.229
W-0010;119.55;71.50;386.32;390.72;Shale;0.175
W-0010;120.53;55.29;390.72;395.50;Dolomite;0.257
W-0010;98.70;70.86;414.26;409.26;Sandstone;0.117
W-0010;86.77;68.98;409.26;420.27;Sandstone;0.069
W-0010;125.29;68.97;420.27;427.71;;0.084
W-0010;103.85;78.90;427.71;432.51;;0.334
W-0010;127.31;53.25;432.51;440.29;Limestone;1.500
W-0011;94.66;50.90;0.00;3.30;Dolomite;0.238
W-0011;110.20;54.97;3.30;18.94;Sandstone;0.176
BAD-OVR1;117.23;82.65;26.00;34.00;Shale;0.243
W-0011;119.10;88.77;24.90;42.90;Sandstone;0.109
W-0011;85.15;90.11;42.90;53.24;Shale;0.091
W-0011;113.83;88.55;53.24;59.77;Shale;0.306
BAD-OVR1;107.09;55.89;29.00;37.00;Shale;0.161
W-0011;95.38;66.16;74.62;77.61;Dolomite;0.299
W-0011;121.09;71.50;77.61;86.20;Limestone;0.214
W-0011;85.75;58.61;86.20;101.17;Dolomite;0.250
W-0011;95.80;50.76;101.17;118.64;Shale;0.177
